participant,category,score,VR
pp1,ASQ,7.666666667,Yes
pp2,ASQ,6.666666667,Yes
pp3,ASQ,7.666666667,Yes
pp4,ASQ,6,Yes
pp5,ASQ,7.333333333,Yes
pp6,ASQ,7.333333333,Yes
pp7,ASQ,8,Yes
pp8,ASQ,6.333333333,Yes
pp9,ASQ,3.666666667,Yes
pp10,ASQ,5.666666667,Yes
pp11,ASQ,7.666666667,Yes
pp12,ASQ,7.666666667,Yes
pp13,ASQ,5,Yes
pp14,ASQ,9,Yes
pp15,ASQ,7.333333333,Yes
pp16,ASQ,5,Yes
pp17,ASQ,9,Yes
pp18,ASQ,6.333333333,Yes
pp19,ASQ,6,Yes
pp20,ASQ,6,Yes
pp21,ASQ,7.666666667,Yes
pp22,ASQ,8,Yes
pp23,ASQ,8,Yes
pp24,ASQ,8.666666667,Yes
pp25,ASQ,7.666666667,Yes
pp26,ASQ,7.333333333,Yes
pp27,ASQ,8,Yes
pp1,ASQ,7,No
pp2,ASQ,7.333333333,No
pp3,ASQ,5.666666667,No
pp4,ASQ,7,No
pp5,ASQ,6.333333333,No
pp6,ASQ,8.666666667,No
pp7,ASQ,7.666666667,No
pp8,ASQ,6.333333333,No
pp9,ASQ,5,No
pp10,ASQ,3.666666667,No
pp11,ASQ,4.333333333,No
pp12,ASQ,8.666666667,No
pp13,ASQ,5.333333333,No
pp14,ASQ,8.666666667,No
pp15,ASQ,3,No
pp16,ASQ,5.666666667,No
pp17,ASQ,7,No
pp18,ASQ,6.333333333,No
pp19,ASQ,5.666666667,No
pp20,ASQ,6.666666667,No
pp21,ASQ,7.666666667,No
pp22,ASQ,6.333333333,No
pp23,ASQ,8.666666667,No
pp24,ASQ,6.666666667,No
pp25,ASQ,7.666666667,No
pp26,ASQ,7.333333333,No
pp27,ASQ,7.333333333,No
