participant,category,score,VR
pp1,MARS,6.25,Yes
pp2,MARS,5.75,Yes
pp3,MARS,6.25,Yes
pp4,MARS,4.75,Yes
pp5,MARS,7,Yes
pp6,MARS,7,Yes
pp7,MARS,7.5,Yes
pp8,MARS,5.5,Yes
pp9,MARS,4,Yes
pp10,MARS,5.25,Yes
pp11,MARS,6.75,Yes
pp12,MARS,5.75,Yes
pp13,MARS,5,Yes
pp14,MARS,8.5,Yes
pp15,MARS,5.25,Yes
pp16,MARS,4.5,Yes
pp17,MARS,8.75,Yes
pp18,MARS,6.75,Yes
pp19,MARS,6.5,Yes
pp20,MARS,5.75,Yes
pp21,MARS,7.25,Yes
pp22,MARS,7,Yes
pp23,MARS,8.5,Yes
pp24,MARS,6,Yes
pp25,MARS,6.5,Yes
pp26,MARS,7.75,Yes
pp27,MARS,6.75,Yes
pp1,MARS,7,No
pp2,MARS,5.75,No
pp3,MARS,7.25,No
pp4,MARS,5.25,No
pp5,MARS,3.75,No
pp6,MARS,6.25,No
pp7,MARS,8.5,No
pp8,MARS,8.25,No
pp9,MARS,0.75,No
pp10,MARS,2.5,No
pp11,MARS,2.25,No
pp12,MARS,7,No
pp13,MARS,4.75,No
pp14,MARS,7.5,No
pp15,MARS,6.5,No
pp16,MARS,4.5,No
pp17,MARS,5,No
pp18,MARS,7.5,No
pp19,MARS,5.5,No
pp20,MARS,5.25,No
pp21,MARS,7,No
pp22,MARS,4.75,No
pp23,MARS,7.25,No
pp24,MARS,6.75,No
pp25,MARS,7.5,No
pp26,MARS,6.75,No
pp27,MARS,5.75,No
