participant,category,score,VR
pp1,Presence,7.25,Yes
pp2,Presence,6,Yes
pp3,Presence,7.75,Yes
pp4,Presence,4.5,Yes
pp5,Presence,5.5,Yes
pp6,Presence,5.25,Yes
pp7,Presence,4,Yes
pp8,Presence,5.75,Yes
pp9,Presence,7.25,Yes
pp10,Presence,3.75,Yes
pp11,Presence,8.25,Yes
pp12,Presence,4.5,Yes
pp13,Presence,4,Yes
pp14,Presence,9,Yes
pp15,Presence,5,Yes
pp16,Presence,6.5,Yes
pp17,Presence,4.75,Yes
pp18,Presence,6.75,Yes
pp19,Presence,5.75,Yes
pp20,Presence,7.25,Yes
pp21,Presence,7.75,Yes
pp22,Presence,7.5,Yes
pp23,Presence,5.75,Yes
pp24,Presence,6.25,Yes
pp25,Presence,8.5,Yes
pp26,Presence,8.25,Yes
pp27,Presence,6,Yes
pp1,Presence,5.25,No
pp2,Presence,2.5,No
pp3,Presence,1.5,No
pp4,Presence,7,No
pp5,Presence,2.25,No
pp6,Presence,7,No
pp7,Presence,8.25,No
pp8,Presence,2,No
pp9,Presence,0.75,No
pp10,Presence,2,No
pp11,Presence,0.5,No
pp12,Presence,8.5,No
pp13,Presence,3.5,No
pp14,Presence,7.75,No
pp15,Presence,0.75,No
pp16,Presence,4.25,No
pp17,Presence,3,No
pp18,Presence,2.25,No
pp19,Presence,4.75,No
pp20,Presence,3.5,No
pp21,Presence,7.25,No
pp22,Presence,7.25,No
pp23,Presence,1.5,No
pp24,Presence,5,No
pp25,Presence,7.5,No
pp26,Presence,3.75,No
pp27,Presence,1.5,No
