,participant,question,score,VR
0,pp1,ASQ_1,7,No
1,pp2,ASQ_1,8,No
2,pp3,ASQ_1,4,No
3,pp4,ASQ_1,7,No
4,pp5,ASQ_1,6,No
5,pp6,ASQ_1,8,No
6,pp7,ASQ_1,7,No
7,pp8,ASQ_1,5,No
8,pp9,ASQ_1,5,No
9,pp10,ASQ_1,3,No
10,pp11,ASQ_1,3,No
11,pp12,ASQ_1,9,No
12,pp13,ASQ_1,5,No
13,pp14,ASQ_1,9,No
14,pp15,ASQ_1,3,No
15,pp16,ASQ_1,5,No
16,pp17,ASQ_1,9,No
17,pp18,ASQ_1,6,No
18,pp19,ASQ_1,6,No
19,pp20,ASQ_1,7,No
20,pp21,ASQ_1,8,No
21,pp22,ASQ_1,8,No
22,pp23,ASQ_1,9,No
23,pp24,ASQ_1,6,No
24,pp25,ASQ_1,8,No
25,pp26,ASQ_1,8,No
26,pp27,ASQ_1,7,No
27,pp1,ASQ_2,7,No
28,pp2,ASQ_2,8,No
29,pp3,ASQ_2,7,No
30,pp4,ASQ_2,9,No
31,pp5,ASQ_2,6,No
32,pp6,ASQ_2,9,No
33,pp7,ASQ_2,9,No
34,pp8,ASQ_2,7,No
35,pp9,ASQ_2,5,No
36,pp10,ASQ_2,5,No
37,pp11,ASQ_2,4,No
38,pp12,ASQ_2,9,No
39,pp13,ASQ_2,5,No
40,pp14,ASQ_2,8,No
41,pp15,ASQ_2,2,No
42,pp16,ASQ_2,6,No
43,pp17,ASQ_2,7,No
44,pp18,ASQ_2,7,No
45,pp19,ASQ_2,6,No
46,pp20,ASQ_2,7,No
47,pp21,ASQ_2,8,No
48,pp22,ASQ_2,7,No
49,pp23,ASQ_2,8,No
50,pp24,ASQ_2,6,No
51,pp25,ASQ_2,8,No
52,pp26,ASQ_2,7,No
53,pp27,ASQ_2,7,No
54,pp1,ASQ_3,7,No
55,pp2,ASQ_3,6,No
56,pp3,ASQ_3,6,No
57,pp4,ASQ_3,5,No
58,pp5,ASQ_3,7,No
59,pp6,ASQ_3,9,No
60,pp7,ASQ_3,7,No
61,pp8,ASQ_3,7,No
62,pp9,ASQ_3,5,No
63,pp10,ASQ_3,3,No
64,pp11,ASQ_3,6,No
65,pp12,ASQ_3,8,No
66,pp13,ASQ_3,6,No
67,pp14,ASQ_3,9,No
68,pp15,ASQ_3,4,No
69,pp16,ASQ_3,6,No
70,pp17,ASQ_3,5,No
71,pp18,ASQ_3,6,No
72,pp19,ASQ_3,5,No
73,pp20,ASQ_3,6,No
74,pp21,ASQ_3,7,No
75,pp22,ASQ_3,4,No
76,pp23,ASQ_3,9,No
77,pp24,ASQ_3,8,No
78,pp25,ASQ_3,7,No
79,pp26,ASQ_3,7,No
80,pp27,ASQ_3,8,No
81,pp1,ASQ_1,7,Yes
82,pp2,ASQ_1,7,Yes
83,pp3,ASQ_1,9,Yes
84,pp4,ASQ_1,6,Yes
85,pp5,ASQ_1,7,Yes
86,pp6,ASQ_1,7,Yes
87,pp7,ASQ_1,9,Yes
88,pp8,ASQ_1,6,Yes
89,pp9,ASQ_1,3,Yes
90,pp10,ASQ_1,6,Yes
91,pp11,ASQ_1,8,Yes
92,pp12,ASQ_1,8,Yes
93,pp13,ASQ_1,5,Yes
94,pp14,ASQ_1,9,Yes
95,pp15,ASQ_1,7,Yes
96,pp16,ASQ_1,5,Yes
97,pp17,ASQ_1,9,Yes
98,pp18,ASQ_1,6,Yes
99,pp19,ASQ_1,5,Yes
100,pp20,ASQ_1,6,Yes
101,pp21,ASQ_1,8,Yes
102,pp22,ASQ_1,8,Yes
103,pp23,ASQ_1,8,Yes
104,pp24,ASQ_1,8,Yes
105,pp25,ASQ_1,7,Yes
106,pp26,ASQ_1,8,Yes
107,pp27,ASQ_1,8,Yes
108,pp1,ASQ_2,8,Yes
109,pp2,ASQ_2,8,Yes
110,pp3,ASQ_2,9,Yes
111,pp4,ASQ_2,8,Yes
112,pp5,ASQ_2,8,Yes
113,pp6,ASQ_2,9,Yes
114,pp7,ASQ_2,9,Yes
115,pp8,ASQ_2,7,Yes
116,pp9,ASQ_2,4,Yes
117,pp10,ASQ_2,7,Yes
118,pp11,ASQ_2,9,Yes
119,pp12,ASQ_2,8,Yes
120,pp13,ASQ_2,4,Yes
121,pp14,ASQ_2,9,Yes
122,pp15,ASQ_2,8,Yes
123,pp16,ASQ_2,5,Yes
124,pp17,ASQ_2,9,Yes
125,pp18,ASQ_2,6,Yes
126,pp19,ASQ_2,6,Yes
127,pp20,ASQ_2,6,Yes
128,pp21,ASQ_2,7,Yes
129,pp22,ASQ_2,8,Yes
130,pp23,ASQ_2,8,Yes
131,pp24,ASQ_2,9,Yes
132,pp25,ASQ_2,7,Yes
133,pp26,ASQ_2,7,Yes
134,pp27,ASQ_2,8,Yes
135,pp1,ASQ_3,8,Yes
136,pp2,ASQ_3,5,Yes
137,pp3,ASQ_3,5,Yes
138,pp4,ASQ_3,4,Yes
139,pp5,ASQ_3,7,Yes
140,pp6,ASQ_3,6,Yes
141,pp7,ASQ_3,6,Yes
142,pp8,ASQ_3,6,Yes
143,pp9,ASQ_3,4,Yes
144,pp10,ASQ_3,4,Yes
145,pp11,ASQ_3,6,Yes
146,pp12,ASQ_3,7,Yes
147,pp13,ASQ_3,6,Yes
148,pp14,ASQ_3,9,Yes
149,pp15,ASQ_3,7,Yes
150,pp16,ASQ_3,5,Yes
151,pp17,ASQ_3,9,Yes
152,pp18,ASQ_3,7,Yes
153,pp19,ASQ_3,7,Yes
154,pp20,ASQ_3,6,Yes
155,pp21,ASQ_3,8,Yes
156,pp22,ASQ_3,8,Yes
157,pp23,ASQ_3,8,Yes
158,pp24,ASQ_3,9,Yes
159,pp25,ASQ_3,9,Yes
160,pp26,ASQ_3,7,Yes
161,pp27,ASQ_3,8,Yes
