,participant,question,score,VR
0,pp1,Mars_1,7,No
1,pp2,Mars_1,6,No
2,pp3,Mars_1,7,No
3,pp4,Mars_1,7,No
4,pp5,Mars_1,4,No
5,pp6,Mars_1,9,No
6,pp7,Mars_1,9,No
7,pp8,Mars_1,9,No
8,pp9,Mars_1,2,No
9,pp10,Mars_1,4,No
10,pp11,Mars_1,2,No
11,pp12,Mars_1,8,No
12,pp13,Mars_1,3,No
13,pp14,Mars_1,7,No
14,pp15,Mars_1,8,No
15,pp16,Mars_1,3,No
16,pp17,Mars_1,2,No
17,pp18,Mars_1,4,No
18,pp19,Mars_1,8,No
19,pp20,Mars_1,5,No
20,pp21,Mars_1,7,No
21,pp22,Mars_1,5,No
22,pp23,Mars_1,2,No
23,pp24,Mars_1,4,No
24,pp25,Mars_1,8,No
25,pp26,Mars_1,4,No
26,pp27,Mars_1,5,No
27,pp1,Mars_2,7,No
28,pp2,Mars_2,4,No
29,pp3,Mars_2,7,No
30,pp4,Mars_2,5,No
31,pp5,Mars_2,6,No
32,pp6,Mars_2,7,No
33,pp7,Mars_2,7,No
34,pp8,Mars_2,9,No
35,pp9,Mars_2,0,No
36,pp10,Mars_2,2,No
37,pp11,Mars_2,1,No
38,pp12,Mars_2,6,No
39,pp13,Mars_2,6,No
40,pp14,Mars_2,7,No
41,pp15,Mars_2,3,No
42,pp16,Mars_2,8,No
43,pp17,Mars_2,7,No
44,pp18,Mars_2,8,No
45,pp19,Mars_2,6,No
46,pp20,Mars_2,4,No
47,pp21,Mars_2,8,No
48,pp22,Mars_2,3,No
49,pp23,Mars_2,9,No
50,pp24,Mars_2,6,No
51,pp25,Mars_2,7,No
52,pp26,Mars_2,7,No
53,pp27,Mars_2,7,No
54,pp1,Mars_3,7,No
55,pp2,Mars_3,7,No
56,pp3,Mars_3,8,No
57,pp4,Mars_3,2,No
58,pp5,Mars_3,3,No
59,pp6,Mars_3,5,No
60,pp7,Mars_3,9,No
61,pp8,Mars_3,8,No
62,pp9,Mars_3,0,No
63,pp10,Mars_3,2,No
64,pp11,Mars_3,4,No
65,pp12,Mars_3,7,No
66,pp13,Mars_3,5,No
67,pp14,Mars_3,9,No
68,pp15,Mars_3,8,No
69,pp16,Mars_3,4,No
70,pp17,Mars_3,7,No
71,pp18,Mars_3,9,No
72,pp19,Mars_3,3,No
73,pp20,Mars_3,5,No
74,pp21,Mars_3,6,No
75,pp22,Mars_3,7,No
76,pp23,Mars_3,9,No
77,pp24,Mars_3,8,No
78,pp25,Mars_3,8,No
79,pp26,Mars_3,8,No
80,pp27,Mars_3,6,No
81,pp1,Mars_4,7,No
82,pp2,Mars_4,6,No
83,pp3,Mars_4,7,No
84,pp4,Mars_4,7,No
85,pp5,Mars_4,2,No
86,pp6,Mars_4,4,No
87,pp7,Mars_4,9,No
88,pp8,Mars_4,7,No
89,pp9,Mars_4,1,No
90,pp10,Mars_4,2,No
91,pp11,Mars_4,2,No
92,pp12,Mars_4,7,No
93,pp13,Mars_4,5,No
94,pp14,Mars_4,7,No
95,pp15,Mars_4,7,No
96,pp16,Mars_4,3,No
97,pp17,Mars_4,4,No
98,pp18,Mars_4,9,No
99,pp19,Mars_4,5,No
100,pp20,Mars_4,7,No
101,pp21,Mars_4,7,No
102,pp22,Mars_4,4,No
103,pp23,Mars_4,9,No
104,pp24,Mars_4,9,No
105,pp25,Mars_4,7,No
106,pp26,Mars_4,8,No
107,pp27,Mars_4,5,No
108,pp1,Mars_1,7,Yes
109,pp2,Mars_1,7,Yes
110,pp3,Mars_1,7,Yes
111,pp4,Mars_1,5,Yes
112,pp5,Mars_1,7,Yes
113,pp6,Mars_1,7,Yes
114,pp7,Mars_1,6,Yes
115,pp8,Mars_1,3,Yes
116,pp9,Mars_1,5,Yes
117,pp10,Mars_1,7,Yes
118,pp11,Mars_1,7,Yes
119,pp12,Mars_1,8,Yes
120,pp13,Mars_1,5,Yes
121,pp14,Mars_1,9,Yes
122,pp15,Mars_1,6,Yes
123,pp16,Mars_1,5,Yes
124,pp17,Mars_1,8,Yes
125,pp18,Mars_1,6,Yes
126,pp19,Mars_1,8,Yes
127,pp20,Mars_1,6,Yes
128,pp21,Mars_1,8,Yes
129,pp22,Mars_1,5,Yes
130,pp23,Mars_1,7,Yes
131,pp24,Mars_1,5,Yes
132,pp25,Mars_1,9,Yes
133,pp26,Mars_1,7,Yes
134,pp27,Mars_1,6,Yes
135,pp1,Mars_2,8,Yes
136,pp2,Mars_2,4,Yes
137,pp3,Mars_2,7,Yes
138,pp4,Mars_2,3,Yes
139,pp5,Mars_2,6,Yes
140,pp6,Mars_2,6,Yes
141,pp7,Mars_2,6,Yes
142,pp8,Mars_2,7,Yes
143,pp9,Mars_2,3,Yes
144,pp10,Mars_2,3,Yes
145,pp11,Mars_2,5,Yes
146,pp12,Mars_2,4,Yes
147,pp13,Mars_2,5,Yes
148,pp14,Mars_2,9,Yes
149,pp15,Mars_2,5,Yes
150,pp16,Mars_2,5,Yes
151,pp17,Mars_2,9,Yes
152,pp18,Mars_2,7,Yes
153,pp19,Mars_2,6,Yes
154,pp20,Mars_2,5,Yes
155,pp21,Mars_2,7,Yes
156,pp22,Mars_2,8,Yes
157,pp23,Mars_2,9,Yes
158,pp24,Mars_2,5,Yes
159,pp25,Mars_2,7,Yes
160,pp26,Mars_2,8,Yes
161,pp27,Mars_2,7,Yes
162,pp1,Mars_3,4,Yes
163,pp2,Mars_3,4,Yes
164,pp3,Mars_3,8,Yes
165,pp4,Mars_3,6,Yes
166,pp5,Mars_3,8,Yes
167,pp6,Mars_3,7,Yes
168,pp7,Mars_3,9,Yes
169,pp8,Mars_3,5,Yes
170,pp9,Mars_3,5,Yes
171,pp10,Mars_3,6,Yes
172,pp11,Mars_3,8,Yes
173,pp12,Mars_3,3,Yes
174,pp13,Mars_3,5,Yes
175,pp14,Mars_3,9,Yes
176,pp15,Mars_3,6,Yes
177,pp16,Mars_3,4,Yes
178,pp17,Mars_3,9,Yes
179,pp18,Mars_3,8,Yes
180,pp19,Mars_3,7,Yes
181,pp20,Mars_3,6,Yes
182,pp21,Mars_3,9,Yes
183,pp22,Mars_3,7,Yes
184,pp23,Mars_3,9,Yes
185,pp24,Mars_3,9,Yes
186,pp25,Mars_3,5,Yes
187,pp26,Mars_3,8,Yes
188,pp27,Mars_3,7,Yes
189,pp1,Mars_4,6,Yes
190,pp2,Mars_4,8,Yes
191,pp3,Mars_4,3,Yes
192,pp4,Mars_4,5,Yes
193,pp5,Mars_4,7,Yes
194,pp6,Mars_4,8,Yes
195,pp7,Mars_4,9,Yes
196,pp8,Mars_4,7,Yes
197,pp9,Mars_4,3,Yes
198,pp10,Mars_4,5,Yes
199,pp11,Mars_4,7,Yes
200,pp12,Mars_4,8,Yes
201,pp13,Mars_4,5,Yes
202,pp14,Mars_4,7,Yes
203,pp15,Mars_4,4,Yes
204,pp16,Mars_4,4,Yes
205,pp17,Mars_4,9,Yes
206,pp18,Mars_4,6,Yes
207,pp19,Mars_4,5,Yes
208,pp20,Mars_4,6,Yes
209,pp21,Mars_4,5,Yes
210,pp22,Mars_4,8,Yes
211,pp23,Mars_4,9,Yes
212,pp24,Mars_4,5,Yes
213,pp25,Mars_4,5,Yes
214,pp26,Mars_4,8,Yes
215,pp27,Mars_4,7,Yes
