,participant,cath,score
0,pp1,interactivity_1,5
1,pp2,interactivity_1,4
2,pp3,interactivity_1,2
3,pp4,interactivity_1,7
4,pp5,interactivity_1,4
5,pp6,interactivity_1,8
6,pp7,interactivity_1,7
7,pp8,interactivity_1,6
8,pp9,interactivity_1,0
9,pp10,interactivity_1,5
10,pp11,interactivity_1,2
11,pp12,interactivity_1,9
12,pp13,interactivity_1,3
13,pp14,interactivity_1,7
14,pp15,interactivity_1,4
15,pp16,interactivity_1,3
16,pp17,interactivity_1,2
17,pp18,interactivity_1,7
18,pp19,interactivity_1,7
19,pp20,interactivity_1,6
20,pp21,interactivity_1,9
21,pp22,interactivity_1,7
22,pp23,interactivity_1,5
23,pp24,interactivity_1,6
24,pp25,interactivity_1,7
25,pp26,interactivity_1,6
26,pp27,interactivity_1,4
27,pp1,interactivity_2,5
28,pp2,interactivity_2,7
29,pp3,interactivity_2,2
30,pp4,interactivity_2,7
31,pp5,interactivity_2,4
32,pp6,interactivity_2,9
33,pp7,interactivity_2,2
34,pp8,interactivity_2,3
35,pp9,interactivity_2,0
36,pp10,interactivity_2,4
37,pp11,interactivity_2,1
38,pp12,interactivity_2,8
39,pp13,interactivity_2,1
40,pp14,interactivity_2,9
41,pp15,interactivity_2,3
42,pp16,interactivity_2,1
43,pp17,interactivity_2,4
44,pp18,interactivity_2,6
45,pp19,interactivity_2,6
46,pp20,interactivity_2,5
47,pp21,interactivity_2,8
48,pp22,interactivity_2,2
49,pp23,interactivity_2,1
50,pp24,interactivity_2,1
51,pp25,interactivity_2,6
52,pp26,interactivity_2,4
53,pp27,interactivity_2,2
54,pp1,interactivity_3,6
55,pp2,interactivity_3,7
56,pp3,interactivity_3,4
57,pp4,interactivity_3,9
58,pp5,interactivity_3,3
59,pp6,interactivity_3,6
60,pp7,interactivity_3,3
61,pp8,interactivity_3,5
62,pp9,interactivity_3,0
63,pp10,interactivity_3,4
64,pp11,interactivity_3,0
65,pp12,interactivity_3,8
66,pp13,interactivity_3,1
67,pp14,interactivity_3,6
68,pp15,interactivity_3,3
69,pp16,interactivity_3,4
70,pp17,interactivity_3,5
71,pp18,interactivity_3,9
72,pp19,interactivity_3,8
73,pp20,interactivity_3,5
74,pp21,interactivity_3,8
75,pp22,interactivity_3,9
76,pp23,interactivity_3,3
77,pp24,interactivity_3,6
78,pp25,interactivity_3,7
79,pp26,interactivity_3,7
80,pp27,interactivity_3,1
