,participant,cath,score
0,pp1,presence_1,5
1,pp2,presence_1,3
2,pp3,presence_1,3
3,pp4,presence_1,3
4,pp5,presence_1,2
5,pp6,presence_1,9
6,pp7,presence_1,9
7,pp8,presence_1,1
8,pp9,presence_1,1
9,pp10,presence_1,1
10,pp11,presence_1,1
11,pp12,presence_1,9
12,pp13,presence_1,4
13,pp14,presence_1,7
14,pp15,presence_1,1
15,pp16,presence_1,5
16,pp17,presence_1,3
17,pp18,presence_1,2
18,pp19,presence_1,6
19,pp20,presence_1,6
20,pp21,presence_1,7
21,pp22,presence_1,7
22,pp23,presence_1,2
23,pp24,presence_1,2
24,pp25,presence_1,7
25,pp26,presence_1,3
26,pp27,presence_1,2
27,pp1,presence_2,6
28,pp2,presence_2,5
29,pp3,presence_2,2
30,pp4,presence_2,7
31,pp5,presence_2,3
32,pp6,presence_2,9
33,pp7,presence_2,9
34,pp8,presence_2,4
35,pp9,presence_2,2
36,pp10,presence_2,5
37,pp11,presence_2,1
38,pp12,presence_2,9
39,pp13,presence_2,4
40,pp14,presence_2,8
41,pp15,presence_2,1
42,pp16,presence_2,5
43,pp17,presence_2,5
44,pp18,presence_2,2
45,pp19,presence_2,6
46,pp20,presence_2,6
47,pp21,presence_2,8
48,pp22,presence_2,9
49,pp23,presence_2,3
50,pp24,presence_2,4
51,pp25,presence_2,8
52,pp26,presence_2,4
53,pp27,presence_2,1
54,pp1,presence_3,5
55,pp2,presence_3,2
56,pp3,presence_3,1
57,pp4,presence_3,9
58,pp5,presence_3,2
59,pp6,presence_3,9
60,pp7,presence_3,9
61,pp8,presence_3,2
62,pp9,presence_3,0
63,pp10,presence_3,1
64,pp11,presence_3,0
65,pp12,presence_3,7
66,pp13,presence_3,1
67,pp14,presence_3,9
68,pp15,presence_3,1
69,pp16,presence_3,3
70,pp17,presence_3,3
71,pp18,presence_3,3
72,pp19,presence_3,3
73,pp20,presence_3,1
74,pp21,presence_3,7
75,pp22,presence_3,4
76,pp23,presence_3,0
77,pp24,presence_3,5
78,pp25,presence_3,8
79,pp26,presence_3,3
80,pp27,presence_3,1
81,pp1,presence_4,5
82,pp2,presence_4,0
83,pp3,presence_4,0
84,pp4,presence_4,9
85,pp5,presence_4,2
86,pp6,presence_4,1
87,pp7,presence_4,6
88,pp8,presence_4,1
89,pp9,presence_4,0
90,pp10,presence_4,1
91,pp11,presence_4,0
92,pp12,presence_4,9
93,pp13,presence_4,5
94,pp14,presence_4,7
95,pp15,presence_4,0
96,pp16,presence_4,4
97,pp17,presence_4,1
98,pp18,presence_4,2
99,pp19,presence_4,4
100,pp20,presence_4,1
101,pp21,presence_4,7
102,pp22,presence_4,9
103,pp23,presence_4,1
104,pp24,presence_4,9
105,pp25,presence_4,7
106,pp26,presence_4,5
107,pp27,presence_4,2
