,participant,category,score,VR
0,pp1,ASQ_mean,7,No
1,pp2,ASQ_mean,7.333333333,No
2,pp3,ASQ_mean,5.666666667,No
3,pp4,ASQ_mean,7,No
4,pp5,ASQ_mean,6.333333333,No
5,pp6,ASQ_mean,8.666666667,No
6,pp7,ASQ_mean,7.666666667,No
7,pp8,ASQ_mean,6.333333333,No
8,pp9,ASQ_mean,5,No
9,pp10,ASQ_mean,3.666666667,No
10,pp11,ASQ_mean,4.333333333,No
11,pp12,ASQ_mean,8.666666667,No
12,pp13,ASQ_mean,5.333333333,No
13,pp14,ASQ_mean,8.666666667,No
14,pp15,ASQ_mean,3,No
15,pp16,ASQ_mean,5.666666667,No
16,pp17,ASQ_mean,7,No
17,pp18,ASQ_mean,6.333333333,No
18,pp19,ASQ_mean,5.666666667,No
19,pp20,ASQ_mean,6.666666667,No
20,pp21,ASQ_mean,7.666666667,No
21,pp22,ASQ_mean,6.333333333,No
22,pp23,ASQ_mean,8.666666667,No
23,pp24,ASQ_mean,6.666666667,No
24,pp25,ASQ_mean,7.666666667,No
25,pp26,ASQ_mean,7.333333333,No
26,pp27,ASQ_mean,7.333333333,No
27,pp1,MARS_mean,7,No
28,pp2,MARS_mean,5.75,No
29,pp3,MARS_mean,7.25,No
30,pp4,MARS_mean,5.25,No
31,pp5,MARS_mean,3.75,No
32,pp6,MARS_mean,6.25,No
33,pp7,MARS_mean,8.5,No
34,pp8,MARS_mean,8.25,No
35,pp9,MARS_mean,0.75,No
36,pp10,MARS_mean,2.5,No
37,pp11,MARS_mean,2.25,No
38,pp12,MARS_mean,7,No
39,pp13,MARS_mean,4.75,No
40,pp14,MARS_mean,7.5,No
41,pp15,MARS_mean,6.5,No
42,pp16,MARS_mean,4.5,No
43,pp17,MARS_mean,5,No
44,pp18,MARS_mean,7.5,No
45,pp19,MARS_mean,5.5,No
46,pp20,MARS_mean,5.25,No
47,pp21,MARS_mean,7,No
48,pp22,MARS_mean,4.75,No
49,pp23,MARS_mean,7.25,No
50,pp24,MARS_mean,6.75,No
51,pp25,MARS_mean,7.5,No
52,pp26,MARS_mean,6.75,No
53,pp27,MARS_mean,5.75,No
54,pp1,Interactivity_mean,5.333333333,No
55,pp2,Interactivity_mean,6,No
56,pp3,Interactivity_mean,2.666666667,No
57,pp4,Interactivity_mean,7.666666667,No
58,pp5,Interactivity_mean,3.666666667,No
59,pp6,Interactivity_mean,7.666666667,No
60,pp7,Interactivity_mean,4,No
61,pp8,Interactivity_mean,4.666666667,No
62,pp9,Interactivity_mean,0,No
63,pp10,Interactivity_mean,4.333333333,No
64,pp11,Interactivity_mean,1,No
65,pp12,Interactivity_mean,8.333333333,No
66,pp13,Interactivity_mean,1.666666667,No
67,pp14,Interactivity_mean,7.333333333,No
68,pp15,Interactivity_mean,3.333333333,No
69,pp16,Interactivity_mean,2.666666667,No
70,pp17,Interactivity_mean,3.666666667,No
71,pp18,Interactivity_mean,7.333333333,No
72,pp19,Interactivity_mean,7,No
73,pp20,Interactivity_mean,5.333333333,No
74,pp21,Interactivity_mean,8.333333333,No
75,pp22,Interactivity_mean,6,No
76,pp23,Interactivity_mean,3,No
77,pp24,Interactivity_mean,4.333333333,No
78,pp25,Interactivity_mean,6.666666667,No
79,pp26,Interactivity_mean,5.666666667,No
80,pp27,Interactivity_mean,2.333333333,No
81,pp1,Presence_mean,5.25,No
82,pp2,Presence_mean,2.5,No
83,pp3,Presence_mean,1.5,No
84,pp4,Presence_mean,7,No
85,pp5,Presence_mean,2.25,No
86,pp6,Presence_mean,7,No
87,pp7,Presence_mean,8.25,No
88,pp8,Presence_mean,2,No
89,pp9,Presence_mean,0.75,No
90,pp10,Presence_mean,2,No
91,pp11,Presence_mean,0.5,No
92,pp12,Presence_mean,8.5,No
93,pp13,Presence_mean,3.5,No
94,pp14,Presence_mean,7.75,No
95,pp15,Presence_mean,0.75,No
96,pp16,Presence_mean,4.25,No
97,pp17,Presence_mean,3,No
98,pp18,Presence_mean,2.25,No
99,pp19,Presence_mean,4.75,No
100,pp20,Presence_mean,3.5,No
101,pp21,Presence_mean,7.25,No
102,pp22,Presence_mean,7.25,No
103,pp23,Presence_mean,1.5,No
104,pp24,Presence_mean,5,No
105,pp25,Presence_mean,7.5,No
106,pp26,Presence_mean,3.75,No
107,pp27,Presence_mean,1.5,No
108,pp1,Realism_mean,5.333333333,No
109,pp2,Realism_mean,3,No
110,pp3,Realism_mean,1.666666667,No
111,pp4,Realism_mean,9,No
112,pp5,Realism_mean,3,No
113,pp6,Realism_mean,8.333333333,No
114,pp7,Realism_mean,4,No
115,pp8,Realism_mean,4.333333333,No
116,pp9,Realism_mean,0,No
117,pp10,Realism_mean,4.333333333,No
118,pp11,Realism_mean,2,No
119,pp12,Realism_mean,7.333333333,No
120,pp13,Realism_mean,3,No
121,pp14,Realism_mean,6.666666667,No
122,pp15,Realism_mean,0,No
123,pp16,Realism_mean,2,No
124,pp17,Realism_mean,2.666666667,No
125,pp18,Realism_mean,3.666666667,No
126,pp19,Realism_mean,3,No
127,pp20,Realism_mean,1.333333333,No
128,pp21,Realism_mean,3,No
129,pp22,Realism_mean,4.666666667,No
130,pp23,Realism_mean,1.666666667,No
131,pp24,Realism_mean,3,No
132,pp25,Realism_mean,6.666666667,No
133,pp26,Realism_mean,4.333333333,No
134,pp27,Realism_mean,3.333333333,No
