,participant,cath,score
0,pp1,MARS_1,7
1,pp2,MARS_1,7
2,pp3,MARS_1,7
3,pp4,MARS_1,5
4,pp5,MARS_1,7
5,pp6,MARS_1,7
6,pp7,MARS_1,6
7,pp8,MARS_1,3
8,pp9,MARS_1,5
9,pp10,MARS_1,7
10,pp11,MARS_1,7
11,pp12,MARS_1,8
12,pp13,MARS_1,5
13,pp14,MARS_1,9
14,pp15,MARS_1,6
15,pp16,MARS_1,5
16,pp17,MARS_1,8
17,pp18,MARS_1,6
18,pp19,MARS_1,8
19,pp20,MARS_1,6
20,pp21,MARS_1,8
21,pp22,MARS_1,5
22,pp23,MARS_1,7
23,pp24,MARS_1,5
24,pp25,MARS_1,9
25,pp26,MARS_1,7
26,pp27,MARS_1,6
27,pp1,MARS_2,8
28,pp2,MARS_2,4
29,pp3,MARS_2,7
30,pp4,MARS_2,3
31,pp5,MARS_2,6
32,pp6,MARS_2,6
33,pp7,MARS_2,6
34,pp8,MARS_2,7
35,pp9,MARS_2,3
36,pp10,MARS_2,3
37,pp11,MARS_2,5
38,pp12,MARS_2,4
39,pp13,MARS_2,5
40,pp14,MARS_2,9
41,pp15,MARS_2,5
42,pp16,MARS_2,5
43,pp17,MARS_2,9
44,pp18,MARS_2,7
45,pp19,MARS_2,6
46,pp20,MARS_2,5
47,pp21,MARS_2,7
48,pp22,MARS_2,8
49,pp23,MARS_2,9
50,pp24,MARS_2,5
51,pp25,MARS_2,7
52,pp26,MARS_2,8
53,pp27,MARS_2,7
54,pp1,MARS_3,4
55,pp2,MARS_3,4
56,pp3,MARS_3,8
57,pp4,MARS_3,6
58,pp5,MARS_3,8
59,pp6,MARS_3,7
60,pp7,MARS_3,9
61,pp8,MARS_3,5
62,pp9,MARS_3,5
63,pp10,MARS_3,6
64,pp11,MARS_3,8
65,pp12,MARS_3,3
66,pp13,MARS_3,5
67,pp14,MARS_3,9
68,pp15,MARS_3,6
69,pp16,MARS_3,4
70,pp17,MARS_3,9
71,pp18,MARS_3,8
72,pp19,MARS_3,7
73,pp20,MARS_3,6
74,pp21,MARS_3,9
75,pp22,MARS_3,7
76,pp23,MARS_3,9
77,pp24,MARS_3,9
78,pp25,MARS_3,5
79,pp26,MARS_3,8
80,pp27,MARS_3,7
81,pp1,MARS_4,6
82,pp2,MARS_4,8
83,pp3,MARS_4,3
84,pp4,MARS_4,5
85,pp5,MARS_4,7
86,pp6,MARS_4,8
87,pp7,MARS_4,9
88,pp8,MARS_4,7
89,pp9,MARS_4,3
90,pp10,MARS_4,5
91,pp11,MARS_4,7
92,pp12,MARS_4,8
93,pp13,MARS_4,5
94,pp14,MARS_4,7
95,pp15,MARS_4,4
96,pp16,MARS_4,4
97,pp17,MARS_4,9
98,pp18,MARS_4,6
99,pp19,MARS_4,5
100,pp20,MARS_4,6
101,pp21,MARS_4,5
102,pp22,MARS_4,8
103,pp23,MARS_4,9
104,pp24,MARS_4,5
105,pp25,MARS_4,5
106,pp26,MARS_4,8
107,pp27,MARS_4,7
