participant,ASQ_mean_VR,MARS_mean_VR,Interactivity_mean,Presence_mean,Realism_mean
pp1,7.666666667,6.25,8,7.25,7.333333333
pp2,6.666666667,5.75,6.666666667,6,6
pp3,7.666666667,6.25,9,7.75,4.666666667
pp4,6,4.75,6.333333333,4.5,6.333333333
pp5,7.333333333,7,7.333333333,5.5,5.333333333
pp6,7.333333333,7,8.666666667,5.25,5.333333333
pp7,8,7.5,8,4,3.666666667
pp8,6.333333333,5.5,8.333333333,5.75,2.666666667
pp9,3.666666667,4,5.333333333,7.25,6.333333333
pp10,5.666666667,5.25,6.333333333,3.75,5
pp11,7.666666667,6.75,8.333333333,8.25,7.666666667
pp12,7.666666667,5.75,8,4.5,3.333333333
pp13,5,5,7,4,4.666666667
pp14,9,8.5,6.666666667,9,9
pp15,7.333333333,5.25,7.333333333,5,3
pp16,5,4.5,6.666666667,6.5,5.333333333
pp17,9,8.75,8.333333333,4.75,4.666666667
pp18,6.333333333,6.75,7,6.75,6.333333333
pp19,6,6.5,7.333333333,5.75,5.666666667
pp20,6,5.75,7.666666667,7.25,4.333333333
pp21,7.666666667,7.25,8,7.75,6
pp22,8,7,9,7.5,5.333333333
pp23,8,8.5,7.666666667,5.75,3.666666667
pp24,8.666666667,6,7.666666667,6.25,8
pp25,7.666666667,6.5,8.333333333,8.5,8
pp26,7.333333333,7.75,7.333333333,8.25,7.666666667
pp27,8,6.75,6.333333333,6,6.666666667
