participant,category,score,VR
pp1,Interactivity,8,Yes
pp2,Interactivity,6.666666667,Yes
pp3,Interactivity,9,Yes
pp4,Interactivity,6.333333333,Yes
pp5,Interactivity,7.333333333,Yes
pp6,Interactivity,8.666666667,Yes
pp7,Interactivity,8,Yes
pp8,Interactivity,8.333333333,Yes
pp9,Interactivity,5.333333333,Yes
pp10,Interactivity,6.333333333,Yes
pp11,Interactivity,8.333333333,Yes
pp12,Interactivity,8,Yes
pp13,Interactivity,7,Yes
pp14,Interactivity,6.666666667,Yes
pp15,Interactivity,7.333333333,Yes
pp16,Interactivity,6.666666667,Yes
pp17,Interactivity,8.333333333,Yes
pp18,Interactivity,7,Yes
pp19,Interactivity,7.333333333,Yes
pp20,Interactivity,7.666666667,Yes
pp21,Interactivity,8,Yes
pp22,Interactivity,9,Yes
pp23,Interactivity,7.666666667,Yes
pp24,Interactivity,7.666666667,Yes
pp25,Interactivity,8.333333333,Yes
pp26,Interactivity,7.333333333,Yes
pp27,Interactivity,6.333333333,Yes
pp1,Interactivity,5.333333333,No
pp2,Interactivity,6,No
pp3,Interactivity,2.666666667,No
pp4,Interactivity,7.666666667,No
pp5,Interactivity,3.666666667,No
pp6,Interactivity,7.666666667,No
pp7,Interactivity,4,No
pp8,Interactivity,4.666666667,No
pp9,Interactivity,0,No
pp10,Interactivity,4.333333333,No
pp11,Interactivity,1,No
pp12,Interactivity,8.333333333,No
pp13,Interactivity,1.666666667,No
pp14,Interactivity,7.333333333,No
pp15,Interactivity,3.333333333,No
pp16,Interactivity,2.666666667,No
pp17,Interactivity,3.666666667,No
pp18,Interactivity,7.333333333,No
pp19,Interactivity,7,No
pp20,Interactivity,5.333333333,No
pp21,Interactivity,8.333333333,No
pp22,Interactivity,6,No
pp23,Interactivity,3,No
pp24,Interactivity,4.333333333,No
pp25,Interactivity,6.666666667,No
pp26,Interactivity,5.666666667,No
pp27,Interactivity,2.333333333,No
