participant,category,score,VR
pp1,Realism,5.333333333,No
pp2,Realism,3,No
pp3,Realism,1.666666667,No
pp4,Realism,9,No
pp5,Realism,3,No
pp6,Realism,8.333333333,No
pp7,Realism,4,No
pp8,Realism,4.333333333,No
pp9,Realism,0,No
pp10,Realism,4.333333333,No
pp11,Realism,2,No
pp12,Realism,7.333333333,No
pp13,Realism,3,No
pp14,Realism,6.666666667,No
pp15,Realism,0,No
pp16,Realism,2,No
pp17,Realism,2.666666667,No
pp18,Realism,3.666666667,No
pp19,Realism,3,No
pp20,Realism,1.333333333,No
pp21,Realism,3,No
pp22,Realism,4.666666667,No
pp23,Realism,1.666666667,No
pp24,Realism,3,No
pp25,Realism,6.666666667,No
pp26,Realism,4.333333333,No
pp27,Realism,3.333333333,No
pp1,Realism,7.333333333,Yes
pp2,Realism,6,Yes
pp3,Realism,4.666666667,Yes
pp4,Realism,6.333333333,Yes
pp5,Realism,5.333333333,Yes
pp6,Realism,5.333333333,Yes
pp7,Realism,3.666666667,Yes
pp8,Realism,2.666666667,Yes
pp9,Realism,6.333333333,Yes
pp10,Realism,5,Yes
pp11,Realism,7.666666667,Yes
pp12,Realism,3.333333333,Yes
pp13,Realism,4.666666667,Yes
pp14,Realism,9,Yes
pp15,Realism,3,Yes
pp16,Realism,5.333333333,Yes
pp17,Realism,4.666666667,Yes
pp18,Realism,6.333333333,Yes
pp19,Realism,5.666666667,Yes
pp20,Realism,4.333333333,Yes
pp21,Realism,6,Yes
pp22,Realism,5.333333333,Yes
pp23,Realism,3.666666667,Yes
pp24,Realism,8,Yes
pp25,Realism,8,Yes
pp26,Realism,7.666666667,Yes
pp27,Realism,6.666666667,Yes
