,participant,cath,score,VR
0,pp1,presence_1,5,no
1,pp2,presence_1,3,no
2,pp3,presence_1,3,no
3,pp4,presence_1,3,no
4,pp5,presence_1,2,no
5,pp6,presence_1,9,no
6,pp7,presence_1,9,no
7,pp8,presence_1,1,no
8,pp9,presence_1,1,no
9,pp10,presence_1,1,no
10,pp11,presence_1,1,no
11,pp12,presence_1,9,no
12,pp13,presence_1,4,no
13,pp14,presence_1,7,no
14,pp15,presence_1,1,no
15,pp16,presence_1,5,no
16,pp17,presence_1,3,no
17,pp18,presence_1,2,no
18,pp19,presence_1,6,no
19,pp20,presence_1,6,no
20,pp21,presence_1,7,no
21,pp22,presence_1,7,no
22,pp23,presence_1,2,no
23,pp24,presence_1,2,no
24,pp25,presence_1,7,no
25,pp26,presence_1,3,no
26,pp27,presence_1,2,no
27,pp1,presence_2,6,no
28,pp2,presence_2,5,no
29,pp3,presence_2,2,no
30,pp4,presence_2,7,no
31,pp5,presence_2,3,no
32,pp6,presence_2,9,no
33,pp7,presence_2,9,no
34,pp8,presence_2,4,no
35,pp9,presence_2,2,no
36,pp10,presence_2,5,no
37,pp11,presence_2,1,no
38,pp12,presence_2,9,no
39,pp13,presence_2,4,no
40,pp14,presence_2,8,no
41,pp15,presence_2,1,no
42,pp16,presence_2,5,no
43,pp17,presence_2,5,no
44,pp18,presence_2,2,no
45,pp19,presence_2,6,no
46,pp20,presence_2,6,no
47,pp21,presence_2,8,no
48,pp22,presence_2,9,no
49,pp23,presence_2,3,no
50,pp24,presence_2,4,no
51,pp25,presence_2,8,no
52,pp26,presence_2,4,no
53,pp27,presence_2,1,no
54,pp1,presence_3,5,no
55,pp2,presence_3,2,no
56,pp3,presence_3,1,no
57,pp4,presence_3,9,no
58,pp5,presence_3,2,no
59,pp6,presence_3,9,no
60,pp7,presence_3,9,no
61,pp8,presence_3,2,no
62,pp9,presence_3,0,no
63,pp10,presence_3,1,no
64,pp11,presence_3,0,no
65,pp12,presence_3,7,no
66,pp13,presence_3,1,no
67,pp14,presence_3,9,no
68,pp15,presence_3,1,no
69,pp16,presence_3,3,no
70,pp17,presence_3,3,no
71,pp18,presence_3,3,no
72,pp19,presence_3,3,no
73,pp20,presence_3,1,no
74,pp21,presence_3,7,no
75,pp22,presence_3,4,no
76,pp23,presence_3,0,no
77,pp24,presence_3,5,no
78,pp25,presence_3,8,no
79,pp26,presence_3,3,no
80,pp27,presence_3,1,no
81,pp1,presence_4,5,no
82,pp2,presence_4,0,no
83,pp3,presence_4,0,no
84,pp4,presence_4,9,no
85,pp5,presence_4,2,no
86,pp6,presence_4,1,no
87,pp7,presence_4,6,no
88,pp8,presence_4,1,no
89,pp9,presence_4,0,no
90,pp10,presence_4,1,no
91,pp11,presence_4,0,no
92,pp12,presence_4,9,no
93,pp13,presence_4,5,no
94,pp14,presence_4,7,no
95,pp15,presence_4,0,no
96,pp16,presence_4,4,no
97,pp17,presence_4,1,no
98,pp18,presence_4,2,no
99,pp19,presence_4,4,no
100,pp20,presence_4,1,no
101,pp21,presence_4,7,no
102,pp22,presence_4,9,no
103,pp23,presence_4,1,no
104,pp24,presence_4,9,no
105,pp25,presence_4,7,no
106,pp26,presence_4,5,no
107,pp27,presence_4,2,no
108,pp1,presence_1,8,yes
109,pp2,presence_1,7,yes
110,pp3,presence_1,9,yes
111,pp4,presence_1,5,yes
112,pp5,presence_1,7,yes
113,pp6,presence_1,5,yes
114,pp7,presence_1,6,yes
115,pp8,presence_1,7,yes
116,pp9,presence_1,8,yes
117,pp10,presence_1,6,yes
118,pp11,presence_1,9,yes
119,pp12,presence_1,4,yes
120,pp13,presence_1,5,yes
121,pp14,presence_1,9,yes
122,pp15,presence_1,7,yes
123,pp16,presence_1,7,yes
124,pp17,presence_1,6,yes
125,pp18,presence_1,7,yes
126,pp19,presence_1,7,yes
127,pp20,presence_1,7,yes
128,pp21,presence_1,7,yes
129,pp22,presence_1,7,yes
130,pp23,presence_1,7,yes
131,pp24,presence_1,8,yes
132,pp25,presence_1,8,yes
133,pp26,presence_1,9,yes
134,pp27,presence_1,8,yes
135,pp1,presence_2,8,yes
136,pp2,presence_2,7,yes
137,pp3,presence_2,8,yes
138,pp4,presence_2,5,yes
139,pp5,presence_2,6,yes
140,pp6,presence_2,6,yes
141,pp7,presence_2,6,yes
142,pp8,presence_2,6,yes
143,pp9,presence_2,8,yes
144,pp10,presence_2,3,yes
145,pp11,presence_2,9,yes
146,pp12,presence_2,7,yes
147,pp13,presence_2,4,yes
148,pp14,presence_2,9,yes
149,pp15,presence_2,6,yes
150,pp16,presence_2,7,yes
151,pp17,presence_2,7,yes
152,pp18,presence_2,7,yes
153,pp19,presence_2,7,yes
154,pp20,presence_2,8,yes
155,pp21,presence_2,8,yes
156,pp22,presence_2,7,yes
157,pp23,presence_2,7,yes
158,pp24,presence_2,8,yes
159,pp25,presence_2,9,yes
160,pp26,presence_2,8,yes
161,pp27,presence_2,6,yes
162,pp1,presence_3,6,yes
163,pp2,presence_3,5,yes
164,pp3,presence_3,6,yes
165,pp4,presence_3,2,yes
166,pp5,presence_3,4,yes
167,pp6,presence_3,6,yes
168,pp7,presence_3,2,yes
169,pp8,presence_3,3,yes
170,pp9,presence_3,6,yes
171,pp10,presence_3,2,yes
172,pp11,presence_3,8,yes
173,pp12,presence_3,2,yes
174,pp13,presence_3,1,yes
175,pp14,presence_3,9,yes
176,pp15,presence_3,2,yes
177,pp16,presence_3,6,yes
178,pp17,presence_3,3,yes
179,pp18,presence_3,6,yes
180,pp19,presence_3,3,yes
181,pp20,presence_3,7,yes
182,pp21,presence_3,8,yes
183,pp22,presence_3,7,yes
184,pp23,presence_3,4,yes
185,pp24,presence_3,2,yes
186,pp25,presence_3,8,yes
187,pp26,presence_3,8,yes
188,pp27,presence_3,5,yes
