,participant,question,score,VR
0,pp1,realism_1,7,No
1,pp2,realism_1,7,No
2,pp3,realism_1,3,No
3,pp4,realism_1,5,No
4,pp5,realism_1,5,No
5,pp6,realism_1,6,No
6,pp7,realism_1,5,No
7,pp8,realism_1,2,No
8,pp9,realism_1,7,No
9,pp10,realism_1,5,No
10,pp11,realism_1,8,No
11,pp12,realism_1,2,No
12,pp13,realism_1,2,No
13,pp14,realism_1,9,No
14,pp15,realism_1,1,No
15,pp16,realism_1,7,No
16,pp17,realism_1,3,No
17,pp18,realism_1,6,No
18,pp19,realism_1,5,No
19,pp20,realism_1,4,No
20,pp21,realism_1,7,No
21,pp22,realism_1,4,No
22,pp23,realism_1,3,No
23,pp24,realism_1,7,No
24,pp25,realism_1,8,No
25,pp26,realism_1,8,No
26,pp27,realism_1,6,No
27,pp1,realism_2,7,No
28,pp2,realism_2,5,No
29,pp3,realism_2,2,No
30,pp4,realism_2,6,No
31,pp5,realism_2,4,No
32,pp6,realism_2,4,No
33,pp7,realism_2,5,No
34,pp8,realism_2,3,No
35,pp9,realism_2,5,No
36,pp10,realism_2,3,No
37,pp11,realism_2,6,No
38,pp12,realism_2,2,No
39,pp13,realism_2,5,No
40,pp14,realism_2,9,No
41,pp15,realism_2,4,No
42,pp16,realism_2,4,No
43,pp17,realism_2,5,No
44,pp18,realism_2,7,No
45,pp19,realism_2,5,No
46,pp20,realism_2,5,No
47,pp21,realism_2,5,No
48,pp22,realism_2,4,No
49,pp23,realism_2,3,No
50,pp24,realism_2,8,No
51,pp25,realism_2,7,No
52,pp26,realism_2,7,No
53,pp27,realism_2,6,No
54,pp1,realism_3,8,No
55,pp2,realism_3,6,No
56,pp3,realism_3,9,No
57,pp4,realism_3,8,No
58,pp5,realism_3,7,No
59,pp6,realism_3,6,No
60,pp7,realism_3,1,No
61,pp8,realism_3,3,No
62,pp9,realism_3,7,No
63,pp10,realism_3,7,No
64,pp11,realism_3,9,No
65,pp12,realism_3,6,No
66,pp13,realism_3,7,No
67,pp14,realism_3,9,No
68,pp15,realism_3,4,No
69,pp16,realism_3,5,No
70,pp17,realism_3,6,No
71,pp18,realism_3,6,No
72,pp19,realism_3,7,No
73,pp20,realism_3,4,No
74,pp21,realism_3,6,No
75,pp22,realism_3,8,No
76,pp23,realism_3,5,No
77,pp24,realism_3,9,No
78,pp25,realism_3,9,No
79,pp26,realism_3,8,No
80,pp27,realism_3,8,No
81,pp1,realism_1,5,Yes
82,pp2,realism_1,3,Yes
83,pp3,realism_1,1,Yes
84,pp4,realism_1,9,Yes
85,pp5,realism_1,3,Yes
86,pp6,realism_1,8,Yes
87,pp7,realism_1,6,Yes
88,pp8,realism_1,4,Yes
89,pp9,realism_1,0,Yes
90,pp10,realism_1,5,Yes
91,pp11,realism_1,2,Yes
92,pp12,realism_1,7,Yes
93,pp13,realism_1,3,Yes
94,pp14,realism_1,7,Yes
95,pp15,realism_1,0,Yes
96,pp16,realism_1,2,Yes
97,pp17,realism_1,2,Yes
98,pp18,realism_1,2,Yes
99,pp19,realism_1,2,Yes
100,pp20,realism_1,1,Yes
101,pp21,realism_1,2,Yes
102,pp22,realism_1,6,Yes
103,pp23,realism_1,1,Yes
104,pp24,realism_1,2,Yes
105,pp25,realism_1,6,Yes
106,pp26,realism_1,3,Yes
107,pp27,realism_1,2,Yes
108,pp1,realism_2,6,Yes
109,pp2,realism_2,3,Yes
110,pp3,realism_2,3,Yes
111,pp4,realism_2,9,Yes
112,pp5,realism_2,3,Yes
113,pp6,realism_2,8,Yes
114,pp7,realism_2,6,Yes
115,pp8,realism_2,7,Yes
116,pp9,realism_2,0,Yes
117,pp10,realism_2,2,Yes
118,pp11,realism_2,1,Yes
119,pp12,realism_2,7,Yes
120,pp13,realism_2,3,Yes
121,pp14,realism_2,6,Yes
122,pp15,realism_2,0,Yes
123,pp16,realism_2,2,Yes
124,pp17,realism_2,2,Yes
125,pp18,realism_2,4,Yes
126,pp19,realism_2,3,Yes
127,pp20,realism_2,2,Yes
128,pp21,realism_2,1,Yes
129,pp22,realism_2,6,Yes
130,pp23,realism_2,1,Yes
131,pp24,realism_2,3,Yes
132,pp25,realism_2,6,Yes
133,pp26,realism_2,5,Yes
134,pp27,realism_2,2,Yes
135,pp1,realism_3,5,Yes
136,pp2,realism_3,3,Yes
137,pp3,realism_3,1,Yes
138,pp4,realism_3,9,Yes
139,pp5,realism_3,3,Yes
140,pp6,realism_3,9,Yes
141,pp7,realism_3,0,Yes
142,pp8,realism_3,2,Yes
143,pp9,realism_3,0,Yes
144,pp10,realism_3,6,Yes
145,pp11,realism_3,3,Yes
146,pp12,realism_3,8,Yes
147,pp13,realism_3,3,Yes
148,pp14,realism_3,7,Yes
149,pp15,realism_3,0,Yes
150,pp16,realism_3,2,Yes
151,pp17,realism_3,4,Yes
152,pp18,realism_3,5,Yes
153,pp19,realism_3,4,Yes
154,pp20,realism_3,1,Yes
155,pp21,realism_3,6,Yes
156,pp22,realism_3,2,Yes
157,pp23,realism_3,3,Yes
158,pp24,realism_3,4,Yes
159,pp25,realism_3,8,Yes
160,pp26,realism_3,5,Yes
161,pp27,realism_3,6,Yes
