,participant,category,score,VR
0,pp1,ASQ,7.666666667,Yes
1,pp2,ASQ,6.666666667,Yes
2,pp3,ASQ,7.666666667,Yes
3,pp4,ASQ,6,Yes
4,pp5,ASQ,7.333333333,Yes
5,pp6,ASQ,7.333333333,Yes
6,pp7,ASQ,8,Yes
7,pp8,ASQ,6.333333333,Yes
8,pp9,ASQ,3.666666667,Yes
9,pp10,ASQ,5.666666667,Yes
10,pp11,ASQ,7.666666667,Yes
11,pp12,ASQ,7.666666667,Yes
12,pp13,ASQ,5,Yes
13,pp14,ASQ,9,Yes
14,pp15,ASQ,7.333333333,Yes
15,pp16,ASQ,5,Yes
16,pp17,ASQ,9,Yes
17,pp18,ASQ,6.333333333,Yes
18,pp19,ASQ,6,Yes
19,pp20,ASQ,6,Yes
20,pp21,ASQ,7.666666667,Yes
21,pp22,ASQ,8,Yes
22,pp23,ASQ,8,Yes
23,pp24,ASQ,8.666666667,Yes
24,pp25,ASQ,7.666666667,Yes
25,pp26,ASQ,7.333333333,Yes
26,pp27,ASQ,8,Yes
27,pp1,MARS,6.25,Yes
28,pp2,MARS,5.75,Yes
29,pp3,MARS,6.25,Yes
30,pp4,MARS,4.75,Yes
31,pp5,MARS,7,Yes
32,pp6,MARS,7,Yes
33,pp7,MARS,7.5,Yes
34,pp8,MARS,5.5,Yes
35,pp9,MARS,4,Yes
36,pp10,MARS,5.25,Yes
37,pp11,MARS,6.75,Yes
38,pp12,MARS,5.75,Yes
39,pp13,MARS,5,Yes
40,pp14,MARS,8.5,Yes
41,pp15,MARS,5.25,Yes
42,pp16,MARS,4.5,Yes
43,pp17,MARS,8.75,Yes
44,pp18,MARS,6.75,Yes
45,pp19,MARS,6.5,Yes
46,pp20,MARS,5.75,Yes
47,pp21,MARS,7.25,Yes
48,pp22,MARS,7,Yes
49,pp23,MARS,8.5,Yes
50,pp24,MARS,6,Yes
51,pp25,MARS,6.5,Yes
52,pp26,MARS,7.75,Yes
53,pp27,MARS,6.75,Yes
54,pp1,Interactivity,8,Yes
55,pp2,Interactivity,6.666666667,Yes
56,pp3,Interactivity,9,Yes
57,pp4,Interactivity,6.333333333,Yes
58,pp5,Interactivity,7.333333333,Yes
59,pp6,Interactivity,8.666666667,Yes
60,pp7,Interactivity,8,Yes
61,pp8,Interactivity,8.333333333,Yes
62,pp9,Interactivity,5.333333333,Yes
63,pp10,Interactivity,6.333333333,Yes
64,pp11,Interactivity,8.333333333,Yes
65,pp12,Interactivity,8,Yes
66,pp13,Interactivity,7,Yes
67,pp14,Interactivity,6.666666667,Yes
68,pp15,Interactivity,7.333333333,Yes
69,pp16,Interactivity,6.666666667,Yes
70,pp17,Interactivity,8.333333333,Yes
71,pp18,Interactivity,7,Yes
72,pp19,Interactivity,7.333333333,Yes
73,pp20,Interactivity,7.666666667,Yes
74,pp21,Interactivity,8,Yes
75,pp22,Interactivity,9,Yes
76,pp23,Interactivity,7.666666667,Yes
77,pp24,Interactivity,7.666666667,Yes
78,pp25,Interactivity,8.333333333,Yes
79,pp26,Interactivity,7.333333333,Yes
80,pp27,Interactivity,6.333333333,Yes
81,pp1,Presence,7.25,Yes
82,pp2,Presence,6,Yes
83,pp3,Presence,7.75,Yes
84,pp4,Presence,4.5,Yes
85,pp5,Presence,5.5,Yes
86,pp6,Presence,5.25,Yes
87,pp7,Presence,4,Yes
88,pp8,Presence,5.75,Yes
89,pp9,Presence,7.25,Yes
90,pp10,Presence,3.75,Yes
91,pp11,Presence,8.25,Yes
92,pp12,Presence,4.5,Yes
93,pp13,Presence,4,Yes
94,pp14,Presence,9,Yes
95,pp15,Presence,5,Yes
96,pp16,Presence,6.5,Yes
97,pp17,Presence,4.75,Yes
98,pp18,Presence,6.75,Yes
99,pp19,Presence,5.75,Yes
100,pp20,Presence,7.25,Yes
101,pp21,Presence,7.75,Yes
102,pp22,Presence,7.5,Yes
