,participant,cath,score
0,pp1,Mars_1,7
1,pp2,Mars_1,6
2,pp3,Mars_1,7
3,pp4,Mars_1,7
4,pp5,Mars_1,4
5,pp6,Mars_1,9
6,pp7,Mars_1,9
7,pp8,Mars_1,9
8,pp9,Mars_1,2
9,pp10,Mars_1,4
10,pp11,Mars_1,2
11,pp12,Mars_1,8
12,pp13,Mars_1,3
13,pp14,Mars_1,7
14,pp15,Mars_1,8
15,pp16,Mars_1,3
16,pp17,Mars_1,2
17,pp18,Mars_1,4
18,pp19,Mars_1,8
19,pp20,Mars_1,5
20,pp21,Mars_1,7
21,pp22,Mars_1,5
22,pp23,Mars_1,2
23,pp24,Mars_1,4
24,pp25,Mars_1,8
25,pp26,Mars_1,4
26,pp27,Mars_1,5
27,pp1,Mars_2,7
28,pp2,Mars_2,4
29,pp3,Mars_2,7
30,pp4,Mars_2,5
31,pp5,Mars_2,6
32,pp6,Mars_2,7
33,pp7,Mars_2,7
34,pp8,Mars_2,9
35,pp9,Mars_2,0
36,pp10,Mars_2,2
37,pp11,Mars_2,1
38,pp12,Mars_2,6
39,pp13,Mars_2,6
40,pp14,Mars_2,7
41,pp15,Mars_2,3
42,pp16,Mars_2,8
43,pp17,Mars_2,7
44,pp18,Mars_2,8
45,pp19,Mars_2,6
46,pp20,Mars_2,4
47,pp21,Mars_2,8
48,pp22,Mars_2,3
49,pp23,Mars_2,9
50,pp24,Mars_2,6
51,pp25,Mars_2,7
52,pp26,Mars_2,7
53,pp27,Mars_2,7
54,pp1,Mars_3,7
55,pp2,Mars_3,7
56,pp3,Mars_3,8
57,pp4,Mars_3,2
58,pp5,Mars_3,3
59,pp6,Mars_3,5
60,pp7,Mars_3,9
61,pp8,Mars_3,8
62,pp9,Mars_3,0
63,pp10,Mars_3,2
64,pp11,Mars_3,4
65,pp12,Mars_3,7
66,pp13,Mars_3,5
67,pp14,Mars_3,9
68,pp15,Mars_3,8
69,pp16,Mars_3,4
70,pp17,Mars_3,7
71,pp18,Mars_3,9
72,pp19,Mars_3,3
73,pp20,Mars_3,5
74,pp21,Mars_3,6
75,pp22,Mars_3,7
76,pp23,Mars_3,9
77,pp24,Mars_3,8
78,pp25,Mars_3,8
79,pp26,Mars_3,8
80,pp27,Mars_3,6
81,pp1,Mars_4,7
82,pp2,Mars_4,6
83,pp3,Mars_4,7
84,pp4,Mars_4,7
85,pp5,Mars_4,2
86,pp6,Mars_4,4
87,pp7,Mars_4,9
88,pp8,Mars_4,7
89,pp9,Mars_4,1
90,pp10,Mars_4,2
91,pp11,Mars_4,2
92,pp12,Mars_4,7
93,pp13,Mars_4,5
94,pp14,Mars_4,7
95,pp15,Mars_4,7
96,pp16,Mars_4,3
97,pp17,Mars_4,4
98,pp18,Mars_4,9
99,pp19,Mars_4,5
100,pp20,Mars_4,7
101,pp21,Mars_4,7
102,pp22,Mars_4,4
103,pp23,Mars_4,9
104,pp24,Mars_4,9
105,pp25,Mars_4,7
106,pp26,Mars_4,8
107,pp27,Mars_4,5
