,participant,cath,score
0,pp1,realism_1,5
1,pp2,realism_1,3
2,pp3,realism_1,1
3,pp4,realism_1,9
4,pp5,realism_1,3
5,pp6,realism_1,8
6,pp7,realism_1,6
7,pp8,realism_1,4
8,pp9,realism_1,0
9,pp10,realism_1,5
10,pp11,realism_1,2
11,pp12,realism_1,7
12,pp13,realism_1,3
13,pp14,realism_1,7
14,pp15,realism_1,0
15,pp16,realism_1,2
16,pp17,realism_1,2
17,pp18,realism_1,2
18,pp19,realism_1,2
19,pp20,realism_1,1
20,pp21,realism_1,2
21,pp22,realism_1,6
22,pp23,realism_1,1
23,pp24,realism_1,2
24,pp25,realism_1,6
25,pp26,realism_1,3
26,pp27,realism_1,2
27,pp1,realism_2,6
28,pp2,realism_2,3
29,pp3,realism_2,3
30,pp4,realism_2,9
31,pp5,realism_2,3
32,pp6,realism_2,8
33,pp7,realism_2,6
34,pp8,realism_2,7
35,pp9,realism_2,0
36,pp10,realism_2,2
37,pp11,realism_2,1
38,pp12,realism_2,7
39,pp13,realism_2,3
40,pp14,realism_2,6
41,pp15,realism_2,0
42,pp16,realism_2,2
43,pp17,realism_2,2
44,pp18,realism_2,4
45,pp19,realism_2,3
46,pp20,realism_2,2
47,pp21,realism_2,1
48,pp22,realism_2,6
49,pp23,realism_2,1
50,pp24,realism_2,3
51,pp25,realism_2,6
52,pp26,realism_2,5
53,pp27,realism_2,2
54,pp1,realism_3,5
55,pp2,realism_3,3
56,pp3,realism_3,1
57,pp4,realism_3,9
58,pp5,realism_3,3
59,pp6,realism_3,9
60,pp7,realism_3,0
61,pp8,realism_3,2
62,pp9,realism_3,0
63,pp10,realism_3,6
64,pp11,realism_3,3
65,pp12,realism_3,8
66,pp13,realism_3,3
67,pp14,realism_3,7
68,pp15,realism_3,0
69,pp16,realism_3,2
70,pp17,realism_3,4
71,pp18,realism_3,5
72,pp19,realism_3,4
73,pp20,realism_3,1
74,pp21,realism_3,6
75,pp22,realism_3,2
76,pp23,realism_3,3
77,pp24,realism_3,4
78,pp25,realism_3,8
79,pp26,realism_3,5
80,pp27,realism_3,6
