,participant,cath,score
0,pp1,Interactivity_1,8
1,pp2,Interactivity_1,6
2,pp3,Interactivity_1,9
3,pp4,Interactivity_1,6
4,pp5,Interactivity_1,7
5,pp6,Interactivity_1,9
6,pp7,Interactivity_1,9
7,pp8,Interactivity_1,8
8,pp9,Interactivity_1,5
9,pp10,Interactivity_1,7
10,pp11,Interactivity_1,8
11,pp12,Interactivity_1,8
12,pp13,Interactivity_1,7
13,pp14,Interactivity_1,7
14,pp15,Interactivity_1,8
15,pp16,Interactivity_1,6
16,pp17,Interactivity_1,7
17,pp18,Interactivity_1,6
18,pp19,Interactivity_1,7
19,pp20,Interactivity_1,8
20,pp21,Interactivity_1,8
21,pp22,Interactivity_1,9
22,pp23,Interactivity_1,7
23,pp24,Interactivity_1,7
24,pp25,Interactivity_1,7
25,pp26,Interactivity_1,8
26,pp27,Interactivity_1,7
27,pp1,Interactivity_2,8
28,pp2,Interactivity_2,7
29,pp3,Interactivity_2,9
30,pp4,Interactivity_2,5
31,pp5,Interactivity_2,7
32,pp6,Interactivity_2,8
33,pp7,Interactivity_2,9
34,pp8,Interactivity_2,8
35,pp9,Interactivity_2,4
36,pp10,Interactivity_2,6
37,pp11,Interactivity_2,8
38,pp12,Interactivity_2,7
39,pp13,Interactivity_2,7
40,pp14,Interactivity_2,7
41,pp15,Interactivity_2,7
42,pp16,Interactivity_2,7
43,pp17,Interactivity_2,9
44,pp18,Interactivity_2,7
45,pp19,Interactivity_2,8
46,pp20,Interactivity_2,8
47,pp21,Interactivity_2,7
48,pp22,Interactivity_2,9
49,pp23,Interactivity_2,7
50,pp24,Interactivity_2,8
51,pp25,Interactivity_2,9
52,pp26,Interactivity_2,6
53,pp27,Interactivity_2,6
54,pp1,Interactivity_3,8
55,pp2,Interactivity_3,7
56,pp3,Interactivity_3,9
57,pp4,Interactivity_3,8
58,pp5,Interactivity_3,8
59,pp6,Interactivity_3,9
60,pp7,Interactivity_3,6
61,pp8,Interactivity_3,9
62,pp9,Interactivity_3,7
63,pp10,Interactivity_3,6
64,pp11,Interactivity_3,9
65,pp12,Interactivity_3,9
66,pp13,Interactivity_3,7
67,pp14,Interactivity_3,6
68,pp15,Interactivity_3,7
69,pp16,Interactivity_3,7
70,pp17,Interactivity_3,9
71,pp18,Interactivity_3,8
72,pp19,Interactivity_3,7
73,pp20,Interactivity_3,7
74,pp21,Interactivity_3,9
75,pp22,Interactivity_3,9
76,pp23,Interactivity_3,9
77,pp24,Interactivity_3,8
78,pp25,Interactivity_3,9
79,pp26,Interactivity_3,8
80,pp27,Interactivity_3,6
