,participant,cath,score
0,pp1,presence_1,8
1,pp2,presence_1,7
2,pp3,presence_1,9
3,pp4,presence_1,5
4,pp5,presence_1,7
5,pp6,presence_1,5
6,pp7,presence_1,6
7,pp8,presence_1,7
8,pp9,presence_1,8
9,pp10,presence_1,6
10,pp11,presence_1,9
11,pp12,presence_1,4
12,pp13,presence_1,5
13,pp14,presence_1,9
14,pp15,presence_1,7
15,pp16,presence_1,7
16,pp17,presence_1,6
17,pp18,presence_1,7
18,pp19,presence_1,7
19,pp20,presence_1,7
20,pp21,presence_1,7
21,pp22,presence_1,7
22,pp23,presence_1,7
23,pp24,presence_1,8
24,pp25,presence_1,8
25,pp26,presence_1,9
26,pp27,presence_1,8
27,pp1,presence_2,8
28,pp2,presence_2,7
29,pp3,presence_2,8
30,pp4,presence_2,5
31,pp5,presence_2,6
32,pp6,presence_2,6
33,pp7,presence_2,6
34,pp8,presence_2,6
35,pp9,presence_2,8
36,pp10,presence_2,3
37,pp11,presence_2,9
38,pp12,presence_2,7
39,pp13,presence_2,4
40,pp14,presence_2,9
41,pp15,presence_2,6
42,pp16,presence_2,7
43,pp17,presence_2,7
44,pp18,presence_2,7
45,pp19,presence_2,7
46,pp20,presence_2,8
47,pp21,presence_2,8
48,pp22,presence_2,7
49,pp23,presence_2,7
50,pp24,presence_2,8
51,pp25,presence_2,9
52,pp26,presence_2,8
53,pp27,presence_2,6
54,pp1,presence_3,6
55,pp2,presence_3,5
56,pp3,presence_3,6
57,pp4,presence_3,2
58,pp5,presence_3,4
59,pp6,presence_3,6
60,pp7,presence_3,2
61,pp8,presence_3,3
62,pp9,presence_3,6
63,pp10,presence_3,2
64,pp11,presence_3,8
65,pp12,presence_3,2
66,pp13,presence_3,1
67,pp14,presence_3,9
68,pp15,presence_3,2
69,pp16,presence_3,6
70,pp17,presence_3,3
71,pp18,presence_3,6
72,pp19,presence_3,3
73,pp20,presence_3,7
74,pp21,presence_3,8
75,pp22,presence_3,7
76,pp23,presence_3,4
77,pp24,presence_3,2
78,pp25,presence_3,8
79,pp26,presence_3,8
80,pp27,presence_3,5
81,pp1,presence_4,7
82,pp2,presence_4,5
83,pp3,presence_4,8
84,pp4,presence_4,6
85,pp5,presence_4,5
86,pp6,presence_4,4
87,pp7,presence_4,2
88,pp8,presence_4,7
89,pp9,presence_4,7
90,pp10,presence_4,4
91,pp11,presence_4,7
92,pp12,presence_4,5
93,pp13,presence_4,6
94,pp14,presence_4,9
95,pp15,presence_4,5
96,pp16,presence_4,6
97,pp17,presence_4,3
98,pp18,presence_4,7
99,pp19,presence_4,6
100,pp20,presence_4,7
101,pp21,presence_4,8
102,pp22,presence_4,9
103,pp23,presence_4,5
104,pp24,presence_4,7
105,pp25,presence_4,9
106,pp26,presence_4,8
107,pp27,presence_4,5
