,participant,cath,score
0,pp1,realism_1,7
1,pp2,realism_1,7
2,pp3,realism_1,3
3,pp4,realism_1,5
4,pp5,realism_1,5
5,pp6,realism_1,6
6,pp7,realism_1,5
7,pp8,realism_1,2
8,pp9,realism_1,7
9,pp10,realism_1,5
10,pp11,realism_1,8
11,pp12,realism_1,2
12,pp13,realism_1,2
13,pp14,realism_1,9
14,pp15,realism_1,1
15,pp16,realism_1,7
16,pp17,realism_1,3
17,pp18,realism_1,6
18,pp19,realism_1,5
19,pp20,realism_1,4
20,pp21,realism_1,7
21,pp22,realism_1,4
22,pp23,realism_1,3
23,pp24,realism_1,7
24,pp25,realism_1,8
25,pp26,realism_1,8
26,pp27,realism_1,6
27,pp1,realism_2,7
28,pp2,realism_2,5
29,pp3,realism_2,2
30,pp4,realism_2,6
31,pp5,realism_2,4
32,pp6,realism_2,4
33,pp7,realism_2,5
34,pp8,realism_2,3
35,pp9,realism_2,5
36,pp10,realism_2,3
37,pp11,realism_2,6
38,pp12,realism_2,2
39,pp13,realism_2,5
40,pp14,realism_2,9
41,pp15,realism_2,4
42,pp16,realism_2,4
43,pp17,realism_2,5
44,pp18,realism_2,7
45,pp19,realism_2,5
46,pp20,realism_2,5
47,pp21,realism_2,5
48,pp22,realism_2,4
49,pp23,realism_2,3
50,pp24,realism_2,8
51,pp25,realism_2,7
52,pp26,realism_2,7
53,pp27,realism_2,6
54,pp1,realism_3,8
55,pp2,realism_3,6
56,pp3,realism_3,9
57,pp4,realism_3,8
58,pp5,realism_3,7
59,pp6,realism_3,6
60,pp7,realism_3,1
61,pp8,realism_3,3
62,pp9,realism_3,7
63,pp10,realism_3,7
64,pp11,realism_3,9
65,pp12,realism_3,6
66,pp13,realism_3,7
67,pp14,realism_3,9
68,pp15,realism_3,4
69,pp16,realism_3,5
70,pp17,realism_3,6
71,pp18,realism_3,6
72,pp19,realism_3,7
73,pp20,realism_3,4
74,pp21,realism_3,6
75,pp22,realism_3,8
76,pp23,realism_3,5
77,pp24,realism_3,9
78,pp25,realism_3,9
79,pp26,realism_3,8
80,pp27,realism_3,8
